,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
73,S100A16,CARD11,DUSP4,CYS1,SELENBP1,CORIN,DDX25,UNC5A,ARRDC4,P2RY13,VMO1,STAB1,RPS8,HKDC1,ZNF214,CCL26,MAOA,CFI,ABCA6,,,,FAM83B,ATP8B4
74,TSPAN8,COBLL1,PCNA,FSD1,FGF10,SPATC1,AARD,DMTN,VAMP8,TYROBP,PLPPR5,BTNL9,RPS2,CCR9,QPRT,HAS1,RIMS1,AIF1L,TNFRSF21,,,,CHST6,SYTL3
75,PPARGC1A,CD4,UGT2B7,HOXB2,RASL11A,APOBEC3A,PRODH2,SULT1C4,DPYS,SULT1B1,URAD,CCL20,RPL15,LCT,SMPDL3B,FN1,CD70,SDR16C5,HNMT,,,,IRF6,SIDT1
76,ITIH3,PLXNA4,CEP55,,OLFML3,PLSCR2,LGI4,ADAMTS15,CARD9,FCGR3A,ITIH1,ADGRL3,HMGB2,GCNT4,UBE2QL1,ADAM12,ADD2,SLC52A3,TMEM176B,,,,LCN2,ADAMTS17
77,FJX1,MPEG1,NCAPH,,MASP1,PLIN5,DMRTA1,SCN3B,HBEGF,BST1,HDAC9,PDK4,RPS24,TMEM213,KCNA3,FAM155A,ZPLD1,LDB2,CHI3L1,,,,MLPH,PSTPIP1
78,TLCD1,TSPAN13,KIAA0319,,TMEM200C,CCR3,TMEM207,RET,MT1X,S100A4,CD74,ADRA1B,RPS15,SCN4A,TMEM238,BNC2,ZPBP,HSPG2,ME1,,,,LMO3,KLRB1
79,NPTXR,IRF7,TICRR,,MYH4,SEMA6B,KRT2,CYP39A1,MYEOV,PADI2,HLA-DRB1,SYT15,RPLP0,PHACTR2,ISL2,PRRX1,TTLL6,ADAMTS9,ADAMDEC1,,,,COX6B2,SPON2
80,DNALI1,SLC7A5,ERICH6B,,SLCO1C1,KCNH4,ATP4A,SFRP1,CDX1,AIF1,SLCO5A1,PLK2,RPL13A,ANTXR2,NXPE4,ANTXR1,TPPP,COL4A1,OTULINL,,,,SFN,GPX7
81,CPSF4L,ADGRG5,CDCA5,,DMRT3,COL13A1,ADRA1D,REP15,PRSS36,RS1,CD83,NRN1,RPL14,SESN3,ELL2,COL6A2,LTA,PTPRB,PTCH2,,,,TNS4,OASL
82,ATP1A4,AZIN2,MCOLN3,,CRYAB,CFAP58,CSPG5,SEC14L4,GAL3ST4,CFP,SHTN1,PLA2G5,RPL37A,RHOH,NDUFAF6,COL6A1,MARCOL,ADAMTS6,ALDH1A1,,,,GALNT5,PRR5
83,BEX5,RUFY4,IL23R,,KCNJ8,CLEC4D,GJB3,MAGI1,,ABHD12B,HLA-DQA1,PRKAA2,SERF2,CEMIP2,SEL1L3,PRICKLE2,MEIG1,SNTG2,DAB2,,,,CXCL6,SKAP1
84,PLIN1,SCAMP5,GPR55,,SLC51B,HPN,CDO1,FBXL7,,CFD,THRB,CASKIN2,RPL3,MGAT4A,DENND5B,TIMP1,TEX15,CYYR1,SLC7A8,,,,ESRP2,
85,ADGRB2,SERPINF1,ZWINT,,FAM205C,LRRC25,FAM183A,PPFIBP1,,LILRA5,C1orf54,CDH7,RPL8,ITGAL,TPD52,ST6GALNAC5,C20orf204,RAMP3,ACP2,,,,CEACAM6,
86,OSMR,TLR7,RPS21,,CCDC160,IL1A,HAND2,RAPGEF5,,TREML2,GPR157,MUC3A,RPS4X,IKZF2,GNG7,PLOD2,KIF5A,SHROOM4,ACSM1,,,,LYPD1,
87,ADAMTSL1,CYP46A1,TMPRSS6,,CCDC102B,KRT23,FGL1,KALRN,,BTNL3,FSCN1,GRIK3,RPL32,PTPN22,PIP5K1B,ROR2,BHLHE22,PDE10A,SLC16A9,,,,S100A2,
88,EPHB2,ST14,RSPH1,,SYNPO2,MSRB1,C5orf38,SMAD1,,NLRP6,APBA1,GAD1,RPL30,FGFR1,CHODL,ADAMTS2,ONECUT2,NOSTRIN,PLTP,,,,BICDL2,
89,WWC1,GPR39,OR51I2,,DCLK1,XKR7,LSAMP,THSD4,,TMIE,TTYH2,AOC3,RPL7,GPR183,SYTL1,COL12A1,ELAVL2,TEK,TCN2,,,,NECTIN4,
90,ABLIM3,ABHD15,GPR87,,RNF150,LGALSL,DLG2,ZNF521,,FOLR3,GAS2L3,GJC2,RPS7,ATP2A3,WDR64,SYNDIG1,CES3,NUAK1,KLHDC8B,,,,S100A14,
91,HUNK,SLC9C2,ZBED2,,GRIN2B,CDC42EP2,CACNA2D3,ITGA9,,CRIP3,RASGRF1,CRACR2B,RPL10A,ARL4C,C3orf70,COL6A6,CLEC19A,EMP1,SLC47A1,,,,PLPP2,
92,FGF2,MAP7D2,OXTR,,DEPTOR,CD300LB,ALPK2,NRP2,,PRDM9,HLA-DOA,SNAI2,RPS29,DENND2D,GIPR,CCDC80,FCER1A,ADGRF5,ACSM5,,,,CD8B2,
93,VSTM4,C17orf64,EME1,,THBS1,CAMK1G,NRG2,NXN,,CLC,GNAO1,ISLR2,RPL18,SGCD,FAM149A,LRP1,BEST3,IFI27,TNFSF15,,,,ARHGEF16,
94,ADCY6,VIPR2,ANKLE1,,PLD5,OSM,TMEM150C,ARHGAP29,,XKR3,MELTF,SOX7,UBE2S,STK26,CTH,NNMT,DQX1,SNAP25,ATP6V1F,,,,STRA8,
95,TRIM47,CCR2,INSC,,CFH,ASPRV1,RARB,GRAPL,,SORL1,C1orf162,GIPC3,RPL36AL,BLM,SLC38A5,ARHGAP28,PITX1,HYAL2,PDE6G,,,,ARHGAP40,
96,RHBDF1,ST6GALNAC4,ANKRD18B,,C1R,DOCK4,LAMA3,LIMCH1,,MYO1F,MPP3,DNAJC5G,EEF1B2,FAM110B,TRPV3,AEBP1,MNX1,ADCY4,SYPL2,,,,GRB7,
97,TCEAL8,RNASE6,CPA4,,PDGFRB,LIMK2,CLMP,KLHL3,,DYSF,APOL4,FGF23,RPL37,ARRDC5,CHPF,KIRREL1,EMX1,MCAM,SLC4A11,,,,PRSS8,
98,TMPRSS11A,C4BPB,CHRM2,,RND3,LITAF,COL27A1,PDE1A,,ITGAX,ZMYND15,GADL1,RPL36,SPON1,CLIC5,CSMD2,BTG4,MMRN2,AURKC,,,,FUT3,
99,TRO,SRPX,TEDC2,,IGFBP3,IL1R1,ERBB4,COLEC12,,JAML,AOC1,ZNF676,RPL34,SERP2,,PHLDB1,FHOD3,NEURL1B,CTSC,,,,MSLN,
100,HRNR,CDHR5,GABRG2,,FSTL1,HCK,NFASC,PIEZO2,,FGF13,SLC6A12,MAGEC3,HMGA1,RAB19,,EMILIN1,IGF2BP3,RAPGEF3,SPRED1,,,,PROM2,
101,DNAJB5,SH2D7,GRAMD1B,,ZBTB16,TBXAS1,MYO16,HECW2,,HRH2,HCRTR2,CYP2A6,CKS2,MUC12,,DAZL,PTPRN2,EXOC3L2,CD84,,,,ISL1,
102,DUSP8,P2RX2,EZH2,,CCL2,RNF144B,DZIP1,FILIP1,,SPI1,ERICH5,MYCN,RPL38,FAM9B,,CFAP69,NLGN1,SOX18,CTNNA3,,,,ASPG,
103,CDK20,P2RY1,MCOLN2,,LURAP1L,MARCKS,ATRNL1,IGF1,,CLEC7A,,RAI14,RPL21,ZFP57,,FAT1,KCNK13,FZD4,CYP27A1,,,,IL20RA,
